Email,Current Status,Type,Date,Started Free Trial?,Decision Maker,demo_date,Phone Number,Designation,Employee Size,Visited Pricing ,Visited Integrations ,Visited Platform ,City/State,Country,Keyword if any,Initial Referrer,Referrer URL,Acquisition Source,When do you need to Solution,Sources,Destinations,message
1@customer-leads.com,Not Interested,create-account,"Monday, October 1, 2018, 11:45:03 am",No,Yes,,9589798554,ETL Analyst Team Lead ,375,no,no,no,Singaperumalkoil,India,,https://www.google.co.in/,https://abc.com/blog/amazon-redshift-pros-and-cons/,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau",redshift,
2@customer-leads.com,No Response - Email,create-account,"Thursday, October 4, 2018, 5:05:03 pm",No,Yes,,5920214042,VP Engineering,50,yes,no,yes,,United States,,https://www.google.com/,https://abc.com/blog/superset-vs-metabase-vs-redash/,Blog - Generic,Early Exploration,"aurora,s3","bigquery,s3",
3@customer-leads.com,No Response - Email,free-trial,"Saturday, October 6, 2018, 4:30:52 pm",No,No,,2582410244,Senior DBA,7,no,no,no,Berlin,Germany,,https://www.google.de/,https://abc.com/blog/postgresql-to-redshift-etl/,Blog - Redshift - X to Y,,,,
4@customer-leads.com,No Response - Email,create-account,"Sunday, October 7, 2018, 11:49:01 am",No,No,"Friday, October 12, 2018, 8:30:00 pm",5604014743,Data Analyst,215,no,no,no,New York,United States,,https://www.google.com/,https://abc.com/blog/ai-transform-business-intelligence/,Blog - Generic,Early Exploration,"python,chartio,superset","mysql,ms_sql",
5@customer-leads.com,Not Interested,free-trial,"Tuesday, October 9, 2018, 1:49:27 pm",Yes,No,"Tuesday, October 9, 2018, 2:00:00 pm",6082279236,Business Intelligence Analyst,45,yes,yes,yes,Kyiv,Ukraine,,https://www.google.com.ua/,https://abc.com/blog/redshift-vs-bigquery/,Blog - Redshift - Generic,Immediately,google_analytics,bigquery,
6@customer-leads.com,No Show - Demo,create-account,"Monday, October 8, 2018, 3:48:51 pm",No,Yes,"Thursday, October 11, 2018, 3:00:00 am",6201859436,CEO,-,yes,yes,no,Setagaya,Japan,,https://www.producthunt.com/post,https://abc.com/,Producthunt,Immediately,mailchimp,bigquery,
7@customer-leads.com,Pricing Requested,request-quote,"Monday, October 8, 2018, 8:56:27 pm",No,Yes,,2689924603,Campaign Intelligence Manager,45,yes,yes,yes,Grant Blanc,United States,stitch data competitors,https://www.google.com/,https://stitch.abc.io/comparison,Ads - ETL Tools,,,,
8@customer-leads.com,No Response - Email,create-account,"Monday, October 8, 2018, 9:28:50 pm",No,Yes,,4135574248,Technical Product Manager,120,yes,yes,yes,Chicago,United States,xplenty pricing,https://www.google.com/,https://xplenty.abc.io/comparison,Ads - ETL Tools,Immediately,salesforce,postgres,
9@customer-leads.com,No Show - Demo,create-account,"Tuesday, October 9, 2018, 3:30:00 am",No,No,"Wednesday, October 10, 2018, 4:00:00 pm",2813506900,- ,,no,no,no,,United States,mysql to snowflake,https://www.google.com/,try.abc.com/mysql-etl-free-trial,Ads - ETL Tools,Immediately,ms_sql,ms_sql,
10@customer-leads.com,Not Interested,create-account,"Wednesday, October 10, 2018, 5:41:17 am",No,No,"Wednesday, October 10, 2018, 3:00:00 pm",1146738666,-,60,yes,no,yes,Mumbai,India,,https://www.google.co.in/,https://abc.com/,Direct - Home,Immediately,rds,redshift,
11@customer-leads.com,No Response - Email,request-demo,"Tuesday, October 9, 2018, 9:31:30 pm",No,No,"Thursday, October 11, 2018, 12:00:00 am",3131249101,Growth Marketing,16,yes,no,yes,San Francisco,United States,,https://www.google.com/,https://abc.com/,Direct - Home,,,,
12@customer-leads.com,No Response - Email,create-account,"Wednesday, October 10, 2018, 1:11:35 pm",No,No,,1977034215,Database Engineer,652,yes,no,no,Singapore,Singapore,,https://www.google.com.sg/,https://abc.com/blog/how-to-install-kafka-on-ubuntu/,Blog - Generic,Immediately,mariadb,rds,
13@customer-leads.com,Not Interested,create-account,"Friday, October 12, 2018, 12:34:23 pm",Yes,Yes,"Monday, October 15, 2018, 2:00:00 pm",5465297346,Consultant,,yes,yes,no,Richmond,United States,stitch data,https://www.google.com/,https://stitch.abc.io/comparison,Ads - ETL Tools,Early Exploration,"mysql,rest,google_analytics",snowflake,
14@customer-leads.com,Not Interested,create-account,"Monday, October 15, 2018, 1:04:55 pm",No,Yes,,4926849449,Senior Lead Engineer,64,yes,no,no,Hyderabad,India,,https://www.quora.com/What-is-the-best-way-to-load-data-into-Amazon-Redshift-from-MySQL,https://abc.com/blog/mysql-to-redshift-etl/,Blog - Redshift - X to Y,Early Exploration,"mysql,redshift",redshift,
15@customer-leads.com,Not Interested,create-account,"Monday, October 15, 2018, 9:12:44 pm",Yes,Yes,"Wednesday, October 17, 2018, 5:00:00 pm",5935629824,-,#N/A,yes,no,no,Martinez,United States,#N/A,https://www.google.com/,https://abc.com/blog/mongodb-to-redshift-etl/,Blog - Redshift - X to Y,Early Exploration,mongo,bigquery,
16@customer-leads.com,Not Interested,contact-us,"Tuesday, October 16, 2018, 6:25:15 pm",No,No,,2907554748,-,#N/A,yes,no,no,Los Angeles,United States,stitch data,https://www.google.com/,https://stitch.abc.io/comparison,Blog - Generic,,,,"Hello, do you have any free or discounted plans for non-profits? We are a small 501c3, trying to wade our way through some historical data...   Thanks in advance, Vince"
17@customer-leads.com,Free Trial Activated,create-account,"Wednesday, October 17, 2018, 10:17:21 pm",Yes,Yes,"Monday, October 22, 2018, 4:00:00 pm",6126803075,Director of Engineering,30,yes,yes,yes,Huntington Beach,United States,,https://www.google.com/,https://abc.com/blog/postgresql-to-redshift-etl/,Blog - Redshift - X to Y,Early Exploration,"mysql,postgres,ror,google_drive,salesforce,intercom,tableau","redshift,bigquery",
18@customer-leads.com,Deferred for Future,create-account,"Thursday, October 18, 2018, 11:07:53 am",Yes,No,"Friday, October 19, 2018, 2:00:00 pm",9540006359,Engineering,#N/A,yes,yes,yes,Burnham,United Kingdom,#N/A,https://www.google.co.uk/,https://abc.com/blog/mongodb-to-redshift-etl/,Blog - Redshift - X to Y,Immediately,mongo,bigquery,
19@customer-leads.com,Demo Given,create-account,"Friday, October 19, 2018, 1:03:29 am",No,Yes,"Monday, October 22, 2018, 2:00:00 pm",6627205787,Director of Marketing,,yes,yes,yes,Mount Laurel,United States,stitch data,https://www.google.com/,https://stitch.abc.io/comparison,Ads - ETL Tools,Immediately,salesforce,bigquery,
20@customer-leads.com,Free Trial Activated,create-account,"Friday, October 19, 2018, 1:19:36 pm",Yes,No,,2149785571,Software Developer,15,yes,yes,yes,Hvidovre,Denmark,,https://www.google.dk/,https://abc.com/blog/redshift-sort-keys-choosing-best-sort-style/,Blog - Redshift - Generic,In A Month,"aurora,redshift,rds",redshift,
21@customer-leads.com,No Response - Email,create-account,"Sunday, October 21, 2018, 1:48:07 am",No,Yes,,8976519174,General Manager,1,no,no,yes,Fairfield,Australia,,https://www.google.com.au/,https://abc.com/blog/building-data-pipelines-hevo/,Blog - Generic,This Quarter,"s3,jira,power_bi,metabase,ms_sql","snowflake,rds,ms_sql",
22@customer-leads.com,No Response - Email,create-account,"Tuesday, October 23, 2018, 5:19:05 am",No,No,,6802081075,Marketing Analyst,687,yes,yes,no,San Francisco,United States,snowflake etl,https://www.google.com/,https://try.abc.com/snowflake-etl-tool-free-trial,Ads - Hevo,In A Month,redshift,snowflake,
23@customer-leads.com,Demo Scheduled,create-account,"Tuesday, October 23, 2018, 8:54:12 am",No,No,"Thursday, October 25, 2018, 5:00:00 am",9652063482,Junior Database Developer,60,no,no,no,Norderstedt,Germany,,https://www.google.com/,https://abc.com/blog/mysql-to-redshift-etl/,Blog - Redshift - X to Y,Immediately,"mysql,rds",redshift,
